x,solution,exactSolution
5.0,0.0,0.0
5.0999999999999996,-7.4810118345035079e-17,1.8751379966410744e-181
5.2000000000000002,-1.933251393957569e-15,1.1571116879730023e-178
5.2999999999999998,-1.4221231284810445e-15,6.7920770281259815e-176
5.4000000000000004,-2.8336556683274873e-16,3.7924092796689824e-173
5.5,-1.0787491336125019e-15,2.014248618856198e-170
5.5999999999999996,4.9032740177386606e-16,1.0176448154831325e-167
5.7000000000000002,7.8258355842352956e-16,4.890628227021491e-165
5.7999999999999998,-7.4349777626669107e-16,2.2357248385469531e-162
5.9000000000000004,8.2070712669205507e-16,9.7220383380564015e-160
6.0,-3.5687325937240009e-16,4.0214399019646235e-157
6.0999999999999996,-2.4209145337706684e-16,1.582308321878019e-154
6.2000000000000002,4.2315955834921635e-16,5.9222388297011659e-152
6.2999999999999998,-1.8626775100940757e-17,2.1084630697560291e-149
6.4000000000000004,-1.4165472341542948e-16,7.140544922566145e-147
6.5,-4.4265084207367483e-17,2.3002868076619056e-144
6.5999999999999996,-1.8080966792610047e-16,7.0488439746816824e-142
6.7000000000000002,-8.2326523127746847e-16,2.0546558188452934e-139
6.7999999999999998,4.2368949021888773e-16,5.6969911280008219e-137
6.9000000000000004,7.4744356835392899e-18,1.502578878477954e-134
7.0,3.2541503359279336e-16,3.7697651240881425e-132
7.0999999999999996,7.1786776286967716e-16,8.9965620708262253e-130
7.2000000000000002,1.5205548468306081e-15,2.0423216679073656e-127
7.3000000000000007,5.5307048415444223e-16,4.410186801852172e-125
7.4000000000000004,-1.4654218603591925e-15,9.0588924031192124e-123
7.5,1.6353319232692551e-15,1.7700213033214504e-120
7.5999999999999996,3.4123517581302194e-15,3.2897823129122578e-118
7.7000000000000002,-6.7749759040359333e-15,5.8162237462941752e-116
7.8000000000000007,-5.5000160580895024e-15,9.7813843618827059e-114
7.9000000000000004,1.5513060180556538e-14,1.5647494969633847e-111
8.0,4.2878181077391892e-15,2.3810833170511078e-109
8.0999999999999996,-4.0441665533354089e-14,3.4465901272309908e-107
8.1999999999999993,3.6183968931308796e-15,4.7455872553127082e-105
8.3000000000000007,9.059847713231433e-14,6.2154927225272317e-103
8.4000000000000004,-3.7856194394334703e-14,7.7436628756117674e-101
8.5,-1.9478626798348187e-13,9.1770392370562274e-99
8.5999999999999996,1.3362692514883129e-13,1.0345322067918185e-96
8.6999999999999993,4.0689837437054497e-13,1.1093554427369523e-94
8.8000000000000007,-3.7020166831297518e-13,1.1315733149357127e-92
8.9000000000000004,-8.4466453353835967e-13,1.0979433988789985e-90
9.0,9.1043070593773164e-13,1.0133570250700976e-88
9.1000000000000014,1.7737906599982458e-12,8.8967275088459238e-87
9.1999999999999993,-2.0662344589790883e-12,7.4299068935328899e-85
9.3000000000000007,-3.8052712957677909e-12,5.9023061151059384e-83
9.4000000000000004,4.3819383108945022e-12,4.4601078864310109e-81
9.5,8.3688174242092549e-12,3.2059317621279914e-79
9.6000000000000014,-8.6526435072152038e-12,2.1920399264608548e-77
9.6999999999999993,-1.8734604545013038e-11,1.4256992534756303e-75
9.8000000000000007,1.5512472800275473e-11,8.8204889462434725e-74
9.9000000000000004,4.2110312337500737e-11,5.1909001351068734e-72
10.0,-2.3540691709768737e-11,2.9058819241797925e-70
10.100000000000001,-9.3298603844301563e-11,1.5473855217685901e-68
10.199999999999999,2.3100323104220055e-11,7.8379839621262031e-67
10.300000000000001,1.9933705248446116e-10,3.7765521645766253e-65
10.4,2.0066816327781545e-11,1.7308996143209287e-63
10.5,-3.996361096966764e-10,7.5462910329046125e-62
10.600000000000001,-2.0134636701978984e-10,3.1295399178586804e-60
10.699999999999999,7.2168529873025281e-10,1.2345614634052e-58
10.800000000000001,7.4124847865737838e-10,4.6326577137798599e-57
10.9,-1.080477198665319e-09,1.6536096046210753e-55
11.0,-2.0513914542642181e-09,5.6146286164960902e-54
11.100000000000001,1.0037296662942945e-09,1.8134031235236568e-52
11.199999999999999,4.6581173713669955e-09,5.5712540136624019e-51
11.300000000000001,9.1285608505709213e-10,1.6281590831263732e-49
11.4,-8.5624607702288322e-09,4.5261192141883671e-48
11.5,-7.6397275211998269e-09,1.1968519093270156e-46
11.600000000000001,1.1244026728233727e-08,3.0105103254793992e-45
11.699999999999999,2.3225666129326961e-08,7.2031938269630809e-44
11.800000000000001,-3.7369107938628818e-09,1.6394393584004234e-42
11.9,-4.780466463653302e-08,3.5493668510456877e-41
12.0,-3.2869302382820979e-08,7.3095677652203513e-40
12.100000000000001,6.2962318580768147e-08,1.4319167863807755e-38
12.199999999999999,1.1929731497369726e-07,2.6682661082064994e-37
12.300000000000001,-8.750368270334182e-09,4.7296148436888113e-36
12.4,-2.3431076006789188e-07,7.974577568483415e-35
12.5,-2.1559877321003698e-07,1.2790127506883805e-33
12.600000000000001,2.2048928436693232e-07,1.951314794223531e-32
12.699999999999999,6.3585842914942878e-07,2.8318162940942363e-31
12.800000000000001,2.7597733270775603e-07,3.9092018113142483e-30
12.9,-8.7675964617641246e-07,5.1332968820915555e-29
13.0,-1.5133735970444006e-06,6.4119473711209932e-28
13.1,-1.5272833681541164e-07,7.6184880688273896e-27
13.200000000000001,2.6058828060973309e-06,8.6105899981941564e-26
13.300000000000001,3.4920783816170697e-06,9.2572566610490441e-25
13.4,-3.644096436372763e-07,9.4671002344614686e-24
13.5,-6.8467763828848186e-06,9.209518436463557e-23
13.6,-8.3897402264272497e-06,8.5220120484085802e-22
13.700000000000001,1.0803774271708485e-06,7.5012327663615461e-21
13.800000000000001,1.6670680978543454e-05,6.2807052987331429e-20
13.9,2.1584474770815302e-05,5.002296914727039e-19
14.0,1.1318577873061143e-06,3.7897956403989821e-18
14.1,-3.703685894333527e-05,2.7311615746064797e-17
14.200000000000001,-5.7602981344188442e-05,1.8722518624520917e-16
14.300000000000001,-2.2120022953944025e-05,1.2208615742752305e-15
14.4,6.7895322476159897e-05,7.5727540919315913e-15
14.5,0.00014711408408134115,4.4681378118610352e-14
14.600000000000001,0.00011811553699580992,2.5077517432640201e-13
14.700000000000001,-6.4670685621148549e-05,1.3388372842018904e-12
14.800000000000001,-0.0003161351148156122,6.7991767517779381e-12
14.9,-0.00042619446049699667,3.2845066103704322e-11
15.0,-0.00018711479065118951,1.509277942899032e-10
15.100000000000001,0.00041295687266794379,6.5971078797062651e-10
15.200000000000001,0.0010665359150488277,2.742983673714651e-09
15.300000000000001,0.0012285946932155548,1.0848710879260912e-08
15.4,0.00043076952470138966,4.0814861190587201e-08
15.5,-0.0013099612841003534,1.4606420129586741e-07
15.600000000000001,-0.0032449341932071977,4.972267999613771e-07
15.700000000000001,-0.0040452748109645357,1.6100914537822041e-06
15.800000000000001,-0.0024056736960127558,4.9594308242393041e-06
15.9,0.0021071755943230679,1.4531097105710444e-05
16.0,0.0083720746371787925,4.0499554780370765e-05
16.100000000000001,0.013625924748951284,0.00010737109169312426
16.200000000000003,0.014197178366284466,0.00027077574822092257
16.300000000000001,0.0069366050083683834,0.00064955725261267388
16.399999999999999,-0.0091181384924915662,0.0014822122007171203
16.5,-0.031480086042429238,0.0032172781336921581
16.600000000000001,-0.053908251492442417,0.0066428142198770163
16.700000000000003,-0.067308751815474563,0.013046706181081181
16.800000000000001,-0.061676768457726017,0.024374456080612821
16.899999999999999,-0.028555425751231031,0.043316589977786021
17.0,0.036687203868365582,0.073224912809564793
17.100000000000001,0.13340132194640575,0.11774669940745036
17.200000000000003,0.25539972277558154,0.18010422336063728
17.300000000000001,0.39193181253711679,0.26205009872622803
17.399999999999999,0.52958954195465135,0.36268536741941204
17.5,0.65464151287142891,0.47748641153333599
17.600000000000001,0.75524754919361781,0.59796707983619057
17.700000000000003,0.82310927361771058,0.71232602151366875
17.800000000000001,0.854307834113194,0.80717112935753232
17.899999999999999,0.84929838848595818,0.87003696738621195
18.0,0.8122120928994212,0.8920620580763855
18.100000000000001,0.74972423382174169,0.87003696738637271
18.200000000000003,0.66977386753059631,0.80717112935782764
18.300000000000001,0.58038049129080871,0.71232602151405977
18.399999999999999,0.48872373439264327,0.59796707983663255
18.5,0.40056140166451515,0.47748641153377702
18.600000000000001,0.3199819978002893,0.36268536741981405
18.700000000000003,0.24943304175822728,0.26205009872656354
18.800000000000001,0.18993940921888675,0.18010422336090087
18.899999999999999,0.14142286469498316,0.11774669940764615
19.0,0.10304733646505665,0.07322491280970006
19.100000000000001,0.073536085100421617,0.043316589977874048
19.200000000000003,0.051429804296027455,0.024374456080666341
19.300000000000001,0.035274278086680003,0.013046706181112226
19.399999999999999,0.023740300274580031,0.0066428142198941909
19.5,0.015686840623826234,0.0032172781337010737
19.600000000000001,0.01018181473922105,0.0014822122007215014
19.700000000000003,0.0064947041048634049,0.00064955725261469418
19.800000000000001,0.0040731326798550743,0.00027077574822181432
19.899999999999999,0.0025125297606422964,0.00010737109169350114
20.0,0.0015250179579863045,4.0499554780520405e-05
20.100000000000001,0.00091112427817633117,1.453109710576656e-05
20.200000000000003,0.00053600417280801613,4.9594308242592661e-06
20.300000000000001,0.0003105900435004808,1.610091453789011e-06
20.399999999999999,0.0001773247129276752,4.9722679996358182e-07
20.5,9.9779247432520729e-05,1.4606420129654199e-07
20.600000000000001,5.5350440174744111e-05,4.0814861190782231e-08
20.700000000000003,3.0277974749365315e-05,1.0848710879314523e-08
20.800000000000001,1.6336807927394722e-05,2.7429836737287714e-09
20.899999999999999,8.696552387667169e-06,6.5971078797416095e-10
21.0,4.5684298723912192e-06,1.5092779429073966e-10
21.100000000000001,2.3687703211459534e-06,3.2845066103891613e-11
21.199999999999999,1.2125716414621232e-06,6.7991767518181089e-12
21.300000000000001,6.129273592673989e-07,1.3388372842100097e-12
21.400000000000002,3.0599408849179618e-07,2.5077517432796115e-13
21.5,1.5090429190269131e-07,4.4681378118899264e-14
21.600000000000001,7.3528174338058966e-08,7.5727540919817408e-15
21.699999999999999,3.540347646834402e-08,1.2208615742835755e-15
21.800000000000001,1.6848127093514522e-08,1.8722518624651685e-16
21.900000000000002,7.9257817161547439e-09,2.7311615746260604e-17
22.0,3.6862616130327857e-09,3.7897956404269874e-18
22.100000000000001,1.6953148154118539e-09,5.0022969147647506e-19
22.199999999999999,7.7107957839578958e-10,6.2807052987819206e-20
22.300000000000001,3.468927106576377e-10,7.5012327664208151e-21
22.400000000000002,1.5438278527758099e-10,8.5220120484775488e-22
22.5,6.7978111301547486e-11,9.2095184365401193e-23
22.600000000000001,2.9618491131406298e-11,9.4671002345415168e-24
22.699999999999999,1.2771321689491087e-11,9.2572566611294883e-25
22.800000000000001,5.4505678423967216e-12,8.6105899982702054e-26
22.900000000000002,2.3026773138070921e-12,7.6184880688959764e-27
23.0,9.630766808451812e-13,6.4119473711802208e-28
23.100000000000001,3.9881802832884482e-13,5.1332968821397019e-29
23.199999999999999,1.6353970692455648e-13,3.9092018113518024e-30
23.300000000000001,6.6413034106277235e-14,2.8318162941219636e-31
23.400000000000002,2.6712287205217307e-14,1.9513147942428035e-32
23.5,1.0642442652422809e-14,1.2790127507013945e-33
23.600000000000001,4.2003725023216559e-15,7.9745775685655757e-35
23.699999999999999,1.6424541435605611e-15,4.7296148437386824e-36
23.800000000000001,6.3635486683675808e-16,2.6682661082351277e-37
23.900000000000002,2.4431318574343912e-16,1.4319167863962407e-38
24.0,9.2955627634869746e-17,7.3095677653013752e-40
24.100000000000001,3.5052955815210796e-17,3.5493668510854849e-41
24.200000000000003,1.3101826845912049e-17,1.6394393584189918e-42
24.300000000000001,4.8543889027070691e-18,7.2031938270469173e-44
24.400000000000002,1.7830734335040555e-18,3.0105103255146507e-45
24.5,6.4933905925813064e-19,1.1968519093413705e-46
24.600000000000001,2.3446412495754328e-19,4.5261192142432962e-48
24.700000000000003,8.3949492503059446e-20,1.6281590831463175e-49
24.800000000000001,2.9807810775637105e-20,5.5712540137323889e-51
24.900000000000002,1.0496518622984768e-20,1.8134031235465407e-52
25.0,3.6660289545578256e-21,5.6146286165686991e-54
25.100000000000001,1.2700285977666137e-21,1.6536096046426477e-55
25.200000000000003,4.3644456789057272e-22,4.6326577138408222e-57
25.300000000000001,1.4878976705397354e-22,1.2345614634218319e-58
25.400000000000002,5.0324010225950825e-23,3.1295399179010195e-60
25.5,1.6887482163798524e-23,7.5462910330092794e-62
25.600000000000001,5.6230350451772183e-24,1.7308996143451323e-63
25.700000000000003,1.8578948308260115e-24,3.7765521646297567e-65
25.800000000000001,6.0917718916522637e-25,7.8379839622393696e-67
