t,xMeas1,xMeas2
10.0,6.4119473711506074e-28,4.568240896176642e-245
10.005000000000001,7.4491974752139134e-28,8.5394236954013767e-245
10.010000000000002,8.652069651176745e-28,1.595133016251548e-244
10.015000000000002,1.0046658891702159e-27,2.977518522110402e-244
10.020000000000003,1.1663115787684806e-27,5.5539467630835693e-244
10.025000000000004,1.3536268050410579e-27,1.0352353026415718e-243
10.030000000000005,1.5706335918900262e-27,1.9282662538425787e-243
10.035000000000005,1.8219755425755947e-27,3.5891031502053255e-243
10.040000000000006,2.1130125543039745e-27,6.6756926883493435e-243
10.045000000000007,2.4499297573466479e-27,1.2407909941086799e-242
10.050000000000008,2.839862783344338e-27,2.3045878789745827e-242
10.055000000000009,3.2910417741055421e-27,4.2774082313706295e-242
10.060000000000009,3.8129568928451104e-27,7.9334366279642672e-242
10.06500000000001,4.4165485006279854e-27,1.4704006394561052e-241
10.070000000000011,5.114425618852578e-27,2.7233541357023001e-241
10.075000000000012,5.921116821971156e-27,5.0404244035282899e-241
10.080000000000013,6.8533583024560334e-27,9.3223430657280557e-241
10.085000000000013,7.9304245326971871e-27,1.7229730486604756e-240
10.090000000000014,9.1745077279089759e-27,3.1822020580125252e-240
10.095000000000015,1.0611153203707178e-26,5.873180152338163e-240
10.100000000000016,1.22697587371147e-26,1.083217408386133e-239
10.105000000000016,1.4184147197781289e-26,1.9964347158158625e-239
10.110000000000017,1.6393223036951154e-26,3.676987927194412e-239
10.115000000000018,1.8941724727667646e-26,6.7674855530381564e-239
10.120000000000019,2.1881086966404871e-26,1.2446892729968539e-238
10.12500000000002,2.5270428402762399e-26,2.2876704624720826e-238
10.13000000000002,2.9177682892972076e-26,4.2017027355223062e-238
10.135000000000021,3.3680894812109315e-26,7.7118212384143353e-238
10.140000000000022,3.8869701851470066e-26,1.414453865677936e-237
10.145000000000023,4.484703201965993e-26,2.5925148464166959e-237
10.150000000000023,5.1731045313082506e-26,4.7484818100827623e-237
10.155000000000024,5.9657354785546234e-26,8.6914011485641558e-237
10.160000000000025,6.8781566597722842e-26,1.5897422959772815e-236
