x,solution,exactSolution
5.0,0.0,0.0
5.0099999999999998,8.2310453764357447e-28,8.2310453764358039e-28
5.0199999999999996,1.056094778740383e-27,1.056094778740383e-27
5.0300000000000002,1.3543585316357318e-27,1.3543585316357318e-27
5.04,1.7359901354049722e-27,1.7359901354049844e-27
5.0499999999999998,2.2240457202682652e-27,2.2240457202682652e-27
5.0599999999999996,2.8478887601522287e-27,2.8478887601522488e-27
5.0700000000000003,3.6448963682583916e-27,3.6448963682584174e-27
5.0800000000000001,4.6626219207548654e-27,4.6626219207548984e-27
5.0899999999999999,5.9615346160722212e-27,5.9615346160722635e-27
5.0999999999999996,7.6184880688618179e-27,7.6184880688618179e-27
5.1100000000000003,9.7311096496403076e-27,9.7311096496403076e-27
5.1200000000000001,1.2423352080512192e-26,1.242335208051228e-26
5.1299999999999999,1.5852511370361113e-26,1.5852511370361228e-26
5.1399999999999997,2.0218093753504241e-26,2.0218093753504388e-26
5.1500000000000004,2.5773012925873823e-26,2.5773012925873823e-26
5.1600000000000001,3.2837722600911427e-26,3.2837722600911662e-26
5.1699999999999999,4.1818044536293056e-26,4.1818044536293354e-26
5.1799999999999997,5.3227646576308048e-26,5.3227646576308048e-26
5.1900000000000004,6.7716368719812052e-26,6.7716368719812534e-26
5.2000000000000002,8.6105899982322119e-26,8.6105899982322119e-26
5.21,1.0943469009754347e-25,1.0943469009754347e-25
5.2199999999999998,1.3901445685195593e-25,1.3901445685195593e-25
5.2300000000000004,1.7650124564930976e-25,1.7650124564930976e-25
5.2400000000000002,2.2398474208690746e-25,2.2398474208690907e-25
5.25,2.8410046734246058e-25,2.8410046734246058e-25
5.2599999999999998,3.6017064529593651e-25,3.6017064529593908e-25
5.2699999999999996,4.5638097575669082e-25,4.5638097575669082e-25
5.2800000000000002,5.7800234967837398e-25,5.7800234967837811e-25
5.29,7.3166878631571388e-25,7.3166878631571388e-25
5.2999999999999998,9.2572566610890366e-25,9.2572566610890366e-25
5.3099999999999996,1.1706658094635345e-24,1.1706658094635345e-24
5.3200000000000003,1.4796752749273026e-24,1.4796752749273131e-24
5.3300000000000001,1.8693161239659276e-24,1.8693161239659276e-24
5.3399999999999999,2.3603800751654494e-24,2.3603800751654494e-24
5.3499999999999996,2.9789552591470433e-24,2.9789552591470433e-24
5.3600000000000003,3.7577585708298108e-24,3.7577585708298372e-24
5.3700000000000001,4.7377988720606772e-24,4.7377988720606772e-24
